288.48,821,67.17
217.38,745,67.25
207.51,745,67.25
452.99,1065,67.33
443.22,1065,67.33
284.88,886,67.83
280.36,886,67.83
270.71,886,67.83
345.39,514,67.92
652.32,1065,68
642.23,1065,68
272.37,822,68.17
690.19,792,68.33
457.12,822,68.42
423.32,778,68.42
412.18,530,68.42
317.21,457,68.42
289.66,530,68.42
460.05,687,68.58
350.63,560,68.58
567.79,913,68.75
402.59,790,68.75
495.58,1050,68.92
490.88,1050,68.92
394.36,850,68.92
881.24,1090,69.17
712.27,845,69.5
621.45,786,69.67
608.8,821,70.08
473.64,538,70.42
665.99,828,70.92
697.14,1130,71.08
